,previous_state,current_state
1,"[[3, 6, 7], [2, 5, 0], [1, 8, 4]]","[[3, 6, 0], [2, 5, 7], [1, 8, 4]]"
2,"[[3, 6, 7], [2, 5, 0], [1, 8, 4]]","[[3, 6, 7], [2, 5, 4], [1, 8, 0]]"
3,"[[3, 6, 7], [2, 5, 0], [1, 8, 4]]","[[3, 6, 7], [2, 0, 5], [1, 8, 4]]"
4,"[[3, 6, 0], [2, 5, 7], [1, 8, 4]]","[[3, 0, 6], [2, 5, 7], [1, 8, 4]]"
5,"[[3, 6, 7], [2, 5, 4], [1, 8, 0]]","[[3, 6, 7], [2, 5, 4], [1, 0, 8]]"
6,"[[3, 6, 7], [2, 0, 5], [1, 8, 4]]","[[3, 0, 7], [2, 6, 5], [1, 8, 4]]"
7,"[[3, 6, 7], [2, 0, 5], [1, 8, 4]]","[[3, 6, 7], [0, 2, 5], [1, 8, 4]]"
8,"[[3, 6, 7], [2, 0, 5], [1, 8, 4]]","[[3, 6, 7], [2, 8, 5], [1, 0, 4]]"
9,"[[3, 0, 6], [2, 5, 7], [1, 8, 4]]","[[0, 3, 6], [2, 5, 7], [1, 8, 4]]"
10,"[[3, 0, 6], [2, 5, 7], [1, 8, 4]]","[[3, 5, 6], [2, 0, 7], [1, 8, 4]]"
11,"[[3, 0, 7], [2, 6, 5], [1, 8, 4]]","[[0, 3, 7], [2, 6, 5], [1, 8, 4]]"
12,"[[3, 6, 7], [0, 2, 5], [1, 8, 4]]","[[3, 6, 7], [1, 2, 5], [0, 8, 4]]"
13,"[[3, 6, 7], [2, 5, 4], [1, 0, 8]]","[[3, 6, 7], [2, 0, 4], [1, 5, 8]]"
14,"[[3, 6, 7], [2, 5, 4], [1, 0, 8]]","[[3, 6, 7], [2, 5, 4], [0, 1, 8]]"
15,"[[3, 0, 7], [2, 6, 5], [1, 8, 4]]","[[3, 7, 0], [2, 6, 5], [1, 8, 4]]"
16,"[[3, 6, 7], [0, 2, 5], [1, 8, 4]]","[[0, 6, 7], [3, 2, 5], [1, 8, 4]]"
17,"[[3, 6, 7], [2, 8, 5], [1, 0, 4]]","[[3, 6, 7], [2, 8, 5], [1, 4, 0]]"
